customer_id,age,gender,subscription_type,monthly_watch_hours,favorite_genre,devices_used,avg_session_time,monthly_subscription_cost,payment_method,support_tickets,ads_tolerance,days_since_last_login,number_of_profiles,binge_watch_frequency,content_rating_given,account_age_months,auto_renew_enabled,churn
OTT-00001,40,Male,Standard,52.2,Sci-Fi,1,2.88,234.94,Credit Card,0.0,Low,22,2,Often,3.7,45,1,0
OTT-00002,33,Male,Basic,19.8,Romance,2,1.15,116.21,Credit Card,1.0,Medium,19,3,Rarely,4.0,13,1,1
OTT-00003,42,Male,Premium,27.7,Action,3,1.42,376.6,UPI,2.0,High,5,1,Rarely,3.8,34,1,1
OTT-00004,53,Male,Standard,17.8,Drama,3,0.76,298.77,UPI,0.0,Low,2,1,Rarely,3.6,17,1,0
OTT-00005,32,Male,Standard,25.6,Sci-Fi,3,1.69,244.23,Credit Card,2.0,Low,3,5,Often,4.5,51,1,0
OTT-00006,32,Female,Basic,57.1,Documentary,4,2.98,101.47,Net Banking,1.0,Medium,4,4,Sometimes,2.3,55,1,0
OTT-00007,53,Female,Standard,12.3,Documentary,2,0.52,216.61,Net Banking,1.0,Low,0,4,Always,1.9,47,1,0
OTT-00008,44,Female,Premium,50.8,Comedy,3,2.95,435.96,Net Banking,0.0,Low,0,2,Sometimes,1.4,19,1,0
OTT-00009,29,Male,Standard,22.8,Romance,3,1.72,254.01,Credit Card,0.0,Low,26,2,Often,1.7,10,1,0
OTT-00010,41,Male,Premium,24.4,Sci-Fi,1,1.64,367.33,UPI,2.0,High,14,2,Sometimes,1.6,42,1,0
OTT-00011,29,Male,Premium,12.1,Documentary,1,0.58,424.35,UPI,0.0,High,16,5,Often,4.6,59,1,0
OTT-00012,29,Other,Basic,17.0,Thriller,1,0.84,111.14,Credit Card,0.0,Low,6,1,Rarely,1.7,9,1,1
OTT-00013,37,Female,Basic,38.4,Sci-Fi,3,1.85,137.36,UPI,4.0,Medium,4,2,Often,1.4,51,0,1
OTT-00014,18,Female,Premium,34.9,Thriller,1,1.69,485.77,Credit Card,5.0,Low,0,5,Never,2.6,11,0,0
OTT-00015,18,Male,Standard,51.0,Romance,3,2.16,259.2,Credit Card,0.0,Medium,8,3,Often,1.7,38,1,0
OTT-00016,28,Female,Basic,15.8,Action,4,0.75,132.8,Net Banking,1.0,Low,13,1,Sometimes,1.5,31,0,0
OTT-00017,22,Male,Basic,34.6,Thriller,4,1.53,108.86,Credit Card,1.0,Low,2,3,Rarely,2.4,2,1,0
OTT-00018,38,Female,Standard,25.6,Sci-Fi,5,1.44,243.28,Wallet,0.0,Medium,4,4,Sometimes,4.7,24,1,0
OTT-00019,24,Female,Premium,41.1,Sci-Fi,2,2.17,387.18,UPI,0.0,Low,26,4,Always,1.1,42,0,0
OTT-00020,18,Other,Basic,7.2,Documentary,1,0.5,140.57,Wallet,1.0,Low,18,1,Rarely,1.8,47,1,0
OTT-00021,52,Female,Basic,27.0,Thriller,1,1.18,107.0,Credit Card,0.0,High,16,2,Rarely,4.3,5,1,0
OTT-00022,32,Male,Premium,30.5,Drama,2,1.44,377.29,UPI,0.0,High,0,1,Sometimes,2.0,50,1,1
OTT-00023,35,Female,Premium,28.2,Documentary,2,1.43,415.4,Credit Card,,Low,1,2,Often,2.8,30,0,0
OTT-00024,18,Female,Standard,18.1,Drama,5,1.28,238.93,Net Banking,0.0,Medium,3,4,Sometimes,1.4,39,1,0
OTT-00025,28,Male,Premium,37.0,Drama,2,2.14,440.91,UPI,1.0,Medium,3,1,Rarely,4.2,35,1,0
OTT-00026,36,Male,Standard,29.4,Thriller,3,3.29,223.12,Credit Card,3.0,Medium,1,1,Never,3.9,53,1,0
OTT-00027,21,Male,Premium,13.0,Thriller,1,0.86,403.04,Wallet,4.0,High,3,2,Never,1.5,59,1,0
OTT-00028,39,Male,Standard,10.1,Sci-Fi,2,1.02,261.24,UPI,1.0,Medium,5,4,Never,4.8,57,1,1
OTT-00029,27,Male,Basic,30.5,Romance,3,1.5,114.97,Credit Card,1.0,Medium,0,4,Always,3.4,48,1,0
OTT-00030,31,Female,Standard,14.7,Romance,2,0.63,273.9,UPI,2.0,Low,5,2,Rarely,4.2,17,1,0
OTT-00031,27,Male,Standard,29.0,Action,3,2.65,251.1,Net Banking,0.0,Medium,6,2,Rarely,4.1,31,1,0
OTT-00032,57,Male,Premium,34.4,Thriller,4,2.83,467.55,Credit Card,1.0,Medium,0,2,Always,3.1,2,1,1
OTT-00033,34,Female,Standard,7.4,Documentary,3,0.5,283.72,UPI,0.0,Low,11,4,Always,,16,1,0
OTT-00034,22,Female,Premium,23.2,Documentary,5,1.29,351.16,Credit Card,1.0,Low,0,4,Never,2.0,21,0,0
OTT-00035,44,Female,Premium,20.4,Romance,3,1.13,459.16,UPI,2.0,Low,10,1,Sometimes,1.1,30,1,0
OTT-00036,20,Male,Basic,21.6,Romance,2,1.23,141.04,Net Banking,,Low,51,4,Often,2.4,52,0,1
OTT-00037,37,Female,Premium,16.1,Drama,4,1.37,480.65,UPI,2.0,Low,0,3,Never,1.6,1,1,0
OTT-00038,18,Female,Standard,43.1,Drama,4,3.55,258.46,UPI,0.0,Low,3,3,Often,4.9,14,1,0
OTT-00039,19,Male,Premium,47.0,Documentary,3,1.95,420.78,Credit Card,0.0,Low,1,2,Always,4.7,16,1,0
OTT-00040,37,Male,Standard,18.4,Documentary,2,0.91,262.16,Credit Card,2.0,Medium,4,2,Sometimes,1.6,55,1,0
OTT-00041,43,Female,Standard,17.6,Drama,4,1.85,236.36,Credit Card,0.0,Medium,18,2,Sometimes,2.4,9,1,0
OTT-00042,37,Female,Standard,7.9,Comedy,3,0.67,232.42,UPI,1.0,Low,26,1,Often,3.0,49,1,0
OTT-00043,33,Other,Basic,17.0,Romance,3,0.91,137.68,UPI,0.0,High,18,3,Often,2.6,8,1,0
OTT-00044,31,Female,Basic,22.8,Drama,3,1.78,137.06,Wallet,0.0,Medium,11,3,Often,3.8,9,0,0
OTT-00045,18,Female,Standard,16.0,Drama,4,1.3,266.8,Credit Card,1.0,Medium,12,4,Never,3.0,34,1,0
OTT-00046,26,Female,Premium,12.0,Thriller,1,1.05,482.6,UPI,0.0,High,1,3,Often,3.3,45,1,0
OTT-00047,29,Male,Standard,50.0,Documentary,2,4.48,209.43,UPI,1.0,Low,2,4,Always,3.7,33,0,0
OTT-00048,47,Male,Standard,30.4,Sci-Fi,5,1.65,273.79,UPI,3.0,Medium,4,1,Never,1.1,22,1,0
OTT-00049,39,Male,Basic,41.7,Drama,5,1.78,114.49,Wallet,3.0,Medium,0,2,Never,1.0,30,0,0
